_id,MAC_add,neon[0],neon[1],neon[2],neon[3],neon[4],neon[5],neon[6],neon[7],chais[0],chais[1],chais[2],chais[3],chais[4],chais[5],chais[6],chais[7],chais[8],chais[9],chais[10],chais[11],chais[12],chais[13],chais[14],chais[15],chais[16],chais[17],chais[18],chais[19],chais[20],chais[21],chais[22],chais[23],chais[24],chais[25]
60436d35167a4481a85ac2a3,40:45:DA:57:D9:C9,1712390795,,,,,,,,1712390826,,,,,,,,,,,,,,,,,,,,,,,,,
50564e8b785449fa84ba8c6d,5D:AB:84:E6:62:61,1712390868,,,,,,,,1712390826,,,,,,,,,,,,,,,,,,,,,,,,,
14668fc8c4154e4b9ffa19d8,F3:3E:23:04:E6:7D,1712390940,,,,,,,,1712390972,,,,,,,,,,,,,,,,,,,,,,,,,
ef2b45395c2248eaa3ba7323,87:10:78:F0:C5:64,1712390940,1712390965,1712391287,1712391313,1712391334,,,,1712391027,1712391203,,,,,,,,,,,,,,,,,,,,,,,,
0710fd134d774b11b3aee99c,5C:A0:6C:A3:5D:50,1712390965,,,,,,,,1712390943,,,,,,,,,,,,,,,,,,,,,,,,,
6a603bb0f75c46c59f45ecc7,D0:97:FE:43:2B:2A,1712391010,,,,,,,,1712391027,,,,,,,,,,,,,,,,,,,,,,,,,
2a98e068a988463c8ff7dafa,E4:8C:73:4F:88:28,1712391071,,,,,,,,1712391027,,,,,,,,,,,,,,,,,,,,,,,,,
ca1acb9cc23e4c86bcddb241,38:8A:BE:78:43:BC,1712391129,,,,,,,,1712391149,,,,,,,,,,,,,,,,,,,,,,,,,
6cc766d2584e4c5f985cdc99,73:2C:A8:26:7D:85,1712391142,,,,,,,,1712391190,,,,,,,,,,,,,,,,,,,,,,,,,
1a3f0d6a89da4f8dbc1474f1,F0:62:5A:A9:6C:E6,1712391176,,,,,,,,1712391149,,,,,,,,,,,,,,,,,,,,,,,,,
0783f55f099340d0abea2dd2,1C:C3:EB:04:BA:7A,1712391176,,,,,,,,1712391149,,,,,,,,,,,,,,,,,,,,,,,,,
9adb74ffc87a48c1aceea467,04:7F:0E:8D:2A:A5,1712391232,,,,,,,,1712391190,,,,,,,,,,,,,,,,,,,,,,,,,
bf863c81e98342ffb3911b19,40:45:DA:62:04:E5,1712391249,,,,,,,,1712391324,1712391347,,,,,,,,,,,,,,,,,,,,,,,,
